depot_id,customers,vehicles,exact_dist_km,hq_dist_km,annealed_turing_dist_km,fast_turing_dist_km,ga_dist_km,qpso_dist_km,exact_time_s,hq_time_s,annealed_turing_time_s,fast_turing_time_s,ga_time_s,qpso_time_s,violations
64,8,1,6.62,6.62,6.62,6.64,7.65,7.65,1.0066416263580322,0.09755349159240723,0.012619256973266602,0.0065059661865234375,0.005000114440917969,0.02808856964111328,0
65,21,2,8.48,8.48,9.58,10.44,11.82,9.07,1.0022578239440918,0.31919264793395996,0.30844783782958984,0.10094141960144043,0.0009562969207763672,0.015000343322753906,0
66,28,3,10.33,10.81,10.71,11.88,14.0,12.69,1.0018072128295898,0.7042431831359863,0.30481767654418945,0.18229126930236816,0.058594465255737305,0.04288053512573242,0
67,15,1,4.9,4.9,5.21,5.39,6.15,7.64,1.0124115943908691,0.3143298625946045,0.008615255355834961,0.03164339065551758,0.008052825927734375,0.013180732727050781,0
68,5,1,11.66,11.66,11.66,11.79,11.91,11.86,1.0026233196258545,0.03196382522583008,0.02162623405456543,0.013775110244750977,0.009129047393798828,0.018503189086914062,0
69,5,1,11.44,11.44,11.44,11.57,11.54,11.6,1.002331018447876,0.015011310577392578,0.0030045509338378906,0.006996870040893555,0.004128932952880859,0.01371002197265625,0
70,14,1,4.78,4.78,4.78,4.78,7.15,7.15,1.009920358657837,0.20145201683044434,0.03784990310668945,0.02219367027282715,0.019160747528076172,0.02962327003479004,0
71,5,1,4.22,4.22,4.22,4.22,4.22,4.22,1.001570463180542,0.034759521484375,0.003000020980834961,0.006006479263305664,0.011333465576171875,0.02335333824157715,0
72,10,1,5.46,5.46,5.46,5.49,5.51,5.51,1.012171745300293,0.15416979789733887,0.015964746475219727,0.00708460807800293,0.015560626983642578,0.032180070877075195,0
73,17,2,4.54,4.54,5.31,4.54,5.71,5.92,1.0027391910552979,0.3086371421813965,0.3001832962036133,0.04453301429748535,0.024016380310058594,0.03538703918457031,0
74,9,1,5.23,5.23,5.23,5.33,7.12,6.15,1.0156772136688232,0.12408900260925293,0.015872955322265625,0.01447606086730957,0.027379751205444336,0.025638580322265625,0
75,14,1,5.59,5.59,5.59,5.65,5.82,5.8,0.995546817779541,0.2258448600769043,0.005995988845825195,0.013064384460449219,0.02004218101501465,0.03995466232299805,0
