generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
70,-11521.581719171389,-13169.887106304528,89832.96981821228,11521.581719171389,0,96,4,38,8.5
71,-11521.581719171387,-14601.119752733073,89832.96981821228,11521.581719171387,0,94,6,38,8.1
72,-11401.632694050038,-11951.698409447137,89156.75928594162,11401.632694050038,0,99,1,46,8.173684210526316
73,-11401.632694050038,-13515.064103951796,89156.75928594162,11401.632694050038,0,96,4,56,7.647368421052631
74,-11401.632694050038,-13890.870005919605,89156.75928594162,11401.632694050038,0,97,3,53,9.531578947368422
75,-11162.353973520125,-16635.776821295563,85420.79348503721,11162.353973520125,0,93,7,49,8.25263157894737
76,-11162.353973520125,-12547.96440961445,85420.79348503721,11162.353973520125,0,98,2,59,7.589473684210526
77,-11162.353973520125,-12900.075793949067,85420.79348503721,11162.353973520125,0,98,2,58,8.75263157894737
78,-11162.353973520125,-13094.586372764697,85420.79348503721,11162.353973520125,0,97,3,63,11.594736842105263
79,-11162.353973520125,-13019.658190457696,85420.79348503721,11162.353973520125,0,96,4,65,12.542105263157895
80,-11162.353973520125,-13296.986874226406,85420.79348503721,11162.353973520125,0,95,5,63,12.226315789473684
81,-11145.749207755158,-13433.59462281038,85207.21416348251,11145.749207755158,0,94,6,63,13.405263157894737
82,-11145.749207755158,-13510.359371388167,85207.21416348251,11145.749207755158,0,95,5,56,7.984210526315789
83,-11139.930076200284,-11809.345395070548,85166.64820698863,11139.930076200284,0,99,1,49,7.657894736842105
84,-11139.930076200284,-11806.968628197712,85166.64820698863,11139.930076200284,0,98,2,47,7.478947368421053
85,-11139.930076200284,-12614.89554631449,85166.64820698863,11139.930076200284,0,96,4,45,6.6421052631578945
86,-11128.641181690982,-12215.864732898683,85216.5225178488,11128.641181690982,0,95,5,39,6.2
87,-11128.641181690982,-14053.53055927785,85216.5225178488,11128.641181690982,0,93,7,41,8.81578947368421
88,-11128.641181690982,-13206.770565819043,85216.5225178488,11128.641181690982,0,94,6,39,3.3473684210526318
89,-11128.641181690982,-13757.926738831564,85216.5225178488,11128.641181690982,0,94,6,38,6.178947368421053
90,-11128.641181690982,-11724.936392534757,85216.5225178488,11128.641181690982,0,99,1,23,5.2368421052631575
91,-11075.354128277313,-12091.571646318158,84628.42351768156,11075.354128277313,0,97,3,29,2.731578947368421
92,-11075.354128277313,-12243.91448625243,84628.42351768156,11075.354128277313,0,97,3,35,4.673684210526316
93,-11075.354128277313,-12345.48055893368,84628.42351768156,11075.354128277313,0,97,3,31,7.168421052631579
94,-11075.354128277313,-12277.444522419419,84628.42351768156,11075.354128277313,0,94,6,39,9.66842105263158
95,-11075.354128277313,-12136.094873794322,84628.42351768156,11075.354128277313,0,96,4,41,15.010526315789473
96,-11075.354128277313,-12738.400977283274,84628.42351768156,11075.354128277313,0,97,3,45,5.7105263157894735
97,-11075.354128277313,-12469.129840406433,84628.42351768156,11075.354128277313,0,97,3,49,7.131578947368421
98,-10901.13119677044,-12499.713583354938,82885.16887471432,10901.13119677044,0,97,3,45,8.31578947368421
99,-10901.13119677044,-12104.680906835018,82885.16887471432,10901.13119677044,0,98,2,29,7.7631578947368425
100,-10901.13119677044,-11946.441048567907,82885.16887471432,10901.13119677044,0,97,3,41,5.363157894736842
101,-10901.13119677044,-11471.857116547291,82885.16887471432,10901.13119677044,0,99,1,25,5.321052631578947
102,-10901.13119677044,-11512.587716252734,82885.16887471432,10901.13119677044,0,100,0,40,11.7
103,-10901.13119677044,-12463.56927055864,82885.16887471432,10901.13119677044,0,98,2,60,11.794736842105262
104,-10819.946167655386,-12754.87439541138,82647.37417518615,10819.946167655386,0,97,3,69,15.468421052631578
105,-10813.871743750156,-12251.517358591964,82613.62737571266,10813.871743750156,0,96,4,69,16.88421052631579
106,-10813.871743750156,-11606.201979259362,82613.62737571266,10813.871743750156,0,99,1,70,13.884210526315789
107,-10813.871743750156,-12555.306168665651,82613.62737571266,10813.871743750156,0,95,5,65,13.284210526315789
108,-10813.871743750156,-11741.808269057954,82613.62737571266,10813.871743750156,0,99,1,57,8.942105263157895
109,-10813.871743750156,-11690.249231835107,82613.62737571266,10813.871743750156,0,98,2,46,8.4
110,-10813.871743750156,-11922.221979276635,82613.62737571266,10813.871743750156,0,97,3,30,4.947368421052632
111,-10786.808946231191,-11193.141441944836,82463.27850060728,10786.808946231191,0,100,0,22,8.163157894736843
112,-10786.808946231191,-11943.571055598259,82463.27850060728,10786.808946231191,0,97,3,32,4.868421052631579
113,-10786.808946231191,-12107.203792294404,82463.27850060728,10786.808946231191,0,97,3,35,4.521052631578947
114,-10786.808946231191,-11911.843467506706,82463.27850060728,10786.808946231191,0,96,4,36,6.184210526315789
115,-10724.704941152917,-11613.338607147327,81719.00501211593,10724.704941152917,0,98,2,41,11.363157894736842
116,-10719.281145436908,-13815.22490460712,81559.01537037994,10719.281145436908,0,94,6,53,8.384210526315789
117,-10719.281145436908,-11525.891972150095,81559.01537037994,10719.281145436908,0,99,1,46,10.157894736842104
118,-10719.281145436908,-11383.102582089185,81559.01537037994,10719.281145436908,0,100,0,47,8.057894736842105
119,-10596.365819220468,-12166.004585294726,81401.77337721596,10596.365819220468,0,97,3,44,7.463157894736842
120,-10590.291395315238,-11948.144367169172,81368.02657774248,10590.291395315238,0,98,2,51,11.642105263157895
121,-10534.91244233141,-11872.70816310196,80531.25704646211,10534.91244233141,0,96,4,50,9.405263157894737
122,-10528.838018426184,-11918.093346115169,80497.51024698862,10528.838018426184,0,96,4,61,11.757894736842106
123,-10496.430070412287,-11454.098322791238,81202.68159209733,10496.430070412287,0,98,2,60,11.810526315789474
124,-10433.08514191111,-11209.291236311912,80851.74809997047,10433.08514191111,0,98,2,51,8.410526315789474
125,-10403.360260226309,-11609.230495835698,80166.33639568608,10403.360260226309,0,98,2,53,10.126315789473685
126,-10403.360260226309,-11621.575291469295,80166.33639568608,10403.360260226309,0,97,3,43,13.16842105263158
127,-10371.631765022055,-11502.87636705887,79981.23176921661,10371.631765022055,0,98,2,45,10.805263157894737
128,-10371.631765022055,-11330.991026444071,79981.23176921661,10371.631765022055,0,95,5,59,14.3
129,-10341.906883337255,-11717.593750207496,79295.82006493222,10341.906883337255,0,97,3,64,10.078947368421053
130,-10341.906883337255,-11157.617364058793,79295.82006493222,10341.906883337255,0,95,5,54,9.242105263157894
131,-10338.81581795679,-11035.112427373675,79552.89914559638,10338.81581795679,0,97,3,48,13.157894736842104
132,-10110.305791555904,-11621.595111903052,77196.6976749025,10110.305791555904,0,94,6,43,13.4
133,-10110.305791555904,-11182.071638729212,77196.6976749025,10110.305791555904,0,95,5,42,10.636842105263158
134,-10073.67305533091,-11057.22511101967,77412.88496631697,10073.67305533091,0,98,2,54,13.226315789473684
135,-10072.697873481447,-11522.048503414328,77127.33204542003,10072.697873481447,0,96,4,48,9.610526315789473
136,-10072.697873481447,-11658.3591343836,77127.33204542003,10072.697873481447,0,96,4,44,10.473684210526315
137,-9842.071963549559,-11657.92733294339,75313.76257628726,9842.071963549559,0,94,6,42,8.442105263157895
138,-9804.464045475102,-11747.931264723153,75244.39694680477,9804.464045475102,0,96,4,40,9.542105263157895
139,-9804.464045475102,-10540.754272503596,75244.39694680477,9804.464045475102,0,97,3,41,6.931578947368421
140,-9804.464045475102,-11540.522684017797,75244.39694680477,9804.464045475102,0,97,3,46,7.136842105263158
141,-9804.464045475102,-10919.95191952075,75244.39694680477,9804.464045475102,0,98,2,44,10.33157894736842
142,-9804.464045475102,-11100.01593179783,75244.39694680477,9804.464045475102,0,97,3,35,8.226315789473684
143,-9804.464045475102,-13032.71819970865,75244.39694680477,9804.464045475102,0,94,6,31,14.847368421052632
144,-9658.238710441234,-13689.529043245264,74349.21716526311,9658.238710441234,0,94,6,35,11.215789473684211
145,-9658.238710441234,-12007.371943818855,74349.21716526311,9658.238710441234,0,96,4,27,3.9473684210526314
146,-9658.238710441234,-10747.448699148583,74349.21716526311,9658.238710441234,0,97,3,20,2.3789473684210525
147,-9658.238710441234,-11985.795960382316,74349.21716526311,9658.238710441234,0,93,7,33,5.978947368421053
148,-9658.238710441234,-11369.261544066083,74349.21716526311,9658.238710441234,0,97,3,33,4.136842105263158
149,-9658.238710441234,-10804.467317750481,74349.21716526311,9658.238710441234,0,98,2,28,2.221052631578947
150,-9658.238710441234,-11709.824478906095,74349.21716526311,9658.238710441234,0,93,7,35,12.66842105263158
151,-9647.315698565957,-12057.613979267106,74258.19206630248,9647.315698565957,0,96,4,39,10.23157894736842
152,-9647.315698565957,-11920.895230333312,74258.19206630248,9647.315698565957,0,95,5,39,8.673684210526316
153,-9647.315698565957,-12237.138725192868,74258.19206630248,9647.315698565957,0,97,3,43,2.1473684210526316
154,-9647.315698565957,-10999.086232754064,74258.19206630248,9647.315698565957,0,97,3,39,4.131578947368421
155,-9647.315698565957,-11530.257492389348,74258.19206630248,9647.315698565957,0,96,4,38,11.342105263157896
156,-9647.315698565957,-14026.666514984929,74258.19206630248,9647.315698565957,0,93,7,36,11.436842105263159
157,-9647.315698565957,-11245.643301840963,74258.19206630248,9647.315698565957,0,97,3,32,6.826315789473684
158,-9647.315698565957,-12845.303274281496,74258.19206630248,9647.315698565957,0,93,7,35,7.521052631578947
159,-9647.315698565957,-11253.165448956403,74258.19206630248,9647.315698565957,0,96,4,28,4.421052631578948
160,-9647.315698565957,-11492.25287521692,74258.19206630248,9647.315698565957,0,98,2,32,0.7947368421052632
161,-9647.315698565957,-12556.743169028312,74258.19206630248,9647.315698565957,0,95,5,36,4.647368421052631
