generation,best_fitness,avg_fitness,best_distance,best_travel_time,best_violations,num_valid,num_invalid,unique_permutations,population_diversity
337,-74122.52014547503,-91026.26380962398,194517.73199474218,19122.52014547503,11,0,100,37,12.784210526315789
338,-74122.52014547503,-89130.02803123603,194517.73199474218,19122.52014547503,11,0,100,22,1.394736842105263
339,-74122.52014547503,-89102.79988716796,194517.73199474218,19122.52014547503,11,0,100,30,2.4894736842105263
340,-74122.52014547503,-84353.76807467038,194517.73199474218,19122.52014547503,11,0,100,31,2.789473684210526
341,-74122.52014547503,-85624.65522139687,194517.73199474218,19122.52014547503,11,0,100,28,2.778947368421053
342,-74122.52014547503,-85374.23966076745,194517.73199474218,19122.52014547503,11,0,100,25,3.194736842105263
343,-74122.52014547503,-80911.55900768453,194517.73199474218,19122.52014547503,11,0,100,25,2.973684210526316
344,-74122.52014547503,-90467.99711025527,194517.73199474218,19122.52014547503,11,0,100,31,6.063157894736842
345,-74122.52014547503,-84929.5987892059,194517.73199474218,19122.52014547503,11,0,100,21,12.126315789473685
346,-74093.54835647721,-86540.05415788754,193877.44973442302,19093.548356477215,11,0,100,23,4.9
347,-74093.54835647721,-85302.49987818877,193877.44973442302,19093.548356477215,11,0,100,25,8.189473684210526
348,-74093.54835647721,-83063.01798695092,193877.44973442302,19093.548356477215,11,0,100,20,1.5368421052631578
349,-74093.54835647721,-86382.76975741831,193877.44973442302,19093.548356477215,11,0,100,33,6.873684210526315
350,-74093.54835647721,-93405.4364052894,193877.44973442302,19093.548356477215,11,0,100,30,13.605263157894736
351,-74093.54835647721,-85137.25570078121,193877.44973442302,19093.548356477215,11,0,100,29,8.026315789473685
352,-74093.54835647721,-85474.82107214649,193877.44973442302,19093.548356477215,11,0,100,26,4.7368421052631575
353,-74093.54835647721,-91375.01107064949,193877.44973442302,19093.548356477215,11,0,100,33,2.3947368421052633
354,-74093.54835647721,-88163.0432074191,193877.44973442302,19093.548356477215,11,0,100,30,5.11578947368421
355,-74093.54835647721,-89414.7862819424,193877.44973442302,19093.548356477215,11,0,100,40,3.957894736842105
